candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
6,0,-0.1,0.7,0.9,-0.25,0.25,0.25,50000,1,10,10,10,True,1.0,0,0.0,3680.0
16,1,-0.1,0.7,0.9,-0.1,0.25,0.5,50000,1,19,10,10,True,0.5263157894736842,9,0.47368421052631576,2573.1052631578946
26,2,-0.1,0.7,0.9,0.0,0.25,0.75,50000,1,25,10,10,True,0.4,15,0.6,1808.16
36,3,-0.1,0.7,0.97,-0.1,0.0,0.25,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2614.1111111111113
46,4,-0.1,0.7,0.97,0.0,0.0,0.5,50000,1,40,10,10,True,0.25,28,0.7,1735.2
56,5,-0.1,0.7,0.995,-0.25,0.0,0.75,50000,1,24,10,10,True,0.4166666666666667,11,0.4583333333333333,2425.75
66,6,-0.1,0.7,0.995,-0.1,0.1,0.25,50000,1,24,10,10,True,0.4166666666666667,12,0.5,2343.5416666666665
76,7,-0.1,0.7,0.995,0.0,0.1,0.5,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,1132.4489795918366
86,8,-0.1,0.85,0.9,-0.25,0.1,0.75,50000,1,23,10,10,True,0.43478260869565216,12,0.5217391304347826,2181.8260869565215
96,9,-0.1,0.85,0.9,-0.1,0.25,0.25,50000,1,25,10,10,True,0.4,15,0.6,2046.8
106,10,-0.1,0.85,0.9,0.0,0.25,0.5,50000,1,50,10,10,True,0.2,40,0.8,1308.92
116,11,-0.1,0.85,0.97,-0.25,0.25,0.75,50000,1,278,10,10,True,0.03597122302158273,268,0.9640287769784173,337.6007194244604
126,12,-0.1,0.85,0.97,0.0,0.0,0.25,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,877.3396226415094
136,13,-0.1,0.85,0.995,-0.25,0.0,0.5,50000,1,45,10,10,True,0.2222222222222222,35,0.7777777777777778,1198.7333333333333
146,14,-0.1,0.85,0.995,-0.1,0.0,0.75,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,912.5283018867924
156,15,-0.1,0.85,0.995,0.0,0.1,0.25,50000,1,124,10,10,True,0.08064516129032258,113,0.9112903225806451,537.2741935483871
