candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
8,0,-0.1,0.7,0.9,-0.25,0.25,0.75,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,2082.074074074074
18,1,-0.1,0.7,0.9,0.0,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3643.3636363636365
28,2,-0.1,0.7,0.97,-0.25,0.0,0.5,50000,1,15,10,10,True,0.6666666666666666,5,0.3333333333333333,2903.5333333333333
38,3,-0.1,0.7,0.97,-0.1,0.0,0.75,50000,1,23,10,10,True,0.43478260869565216,12,0.5217391304347826,2021.7826086956522
48,4,-0.1,0.7,0.97,0.0,0.1,0.25,50000,1,34,10,10,True,0.29411764705882354,22,0.6470588235294118,1674.9411764705883
58,5,-0.1,0.7,0.995,-0.25,0.1,0.5,50000,1,25,10,10,True,0.4,14,0.56,2167.08
68,6,-0.1,0.7,0.995,-0.1,0.1,0.75,50000,1,50,10,10,True,0.2,39,0.78,1049.8
78,7,-0.1,0.7,0.995,0.0,0.25,0.25,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,924.5490196078431
88,8,-0.1,0.85,0.9,-0.25,0.25,0.5,50000,1,27,10,10,True,0.37037037037037035,16,0.5925925925925926,1768.7407407407406
98,9,-0.1,0.85,0.9,-0.1,0.25,0.75,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1209.9591836734694
108,10,-0.1,0.85,0.97,-0.25,0.0,0.25,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2233.777777777778
118,11,-0.1,0.85,0.97,-0.1,0.0,0.5,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,1049.1020408163265
128,12,-0.1,0.85,0.97,0.0,0.0,0.75,50000,1,72,10,10,True,0.1388888888888889,61,0.8472222222222222,811.2361111111111
138,13,-0.1,0.85,0.995,-0.25,0.1,0.25,50000,1,25,10,10,True,0.4,15,0.6,2129.04
148,14,-0.1,0.85,0.995,-0.1,0.1,0.5,50000,1,77,10,10,True,0.12987012987012986,67,0.8701298701298701,664.9090909090909
158,15,-0.1,0.85,0.995,0.0,0.1,0.75,50000,1,152,10,10,True,0.06578947368421052,141,0.9276315789473685,353.4671052631579
168,16,-0.1,1.0,0.9,-0.25,0.25,0.25,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,2930.214285714286
178,17,-0.1,1.0,0.9,-0.1,0.25,0.5,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1312.0
188,18,-0.1,1.0,0.9,0.0,0.25,0.75,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,1189.0
198,19,-0.1,1.0,0.97,-0.1,0.0,0.25,50000,1,50,10,10,True,0.2,40,0.8,1089.84
208,20,-0.1,1.0,0.97,0.0,0.0,0.5,50000,1,81,10,10,True,0.12345679012345678,71,0.8765432098765432,736.6296296296297
218,21,-0.1,1.0,0.995,-0.25,0.0,0.75,50000,1,50,10,10,True,0.2,40,0.8,893.32
228,22,-0.1,1.0,0.995,-0.1,0.1,0.25,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,1006.0377358490566
238,23,-0.1,1.0,0.995,0.0,0.1,0.5,50000,1,157,10,10,True,0.06369426751592357,146,0.9299363057324841,365.3503184713376
248,24,-0.02,0.7,0.9,-0.25,0.1,0.75,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2340.2380952380954
258,25,-0.02,0.7,0.9,-0.1,0.25,0.25,50000,1,15,10,10,True,0.6666666666666666,4,0.26666666666666666,2831.4
268,26,-0.02,0.7,0.9,0.0,0.25,0.5,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1504.6190476190477
278,27,-0.02,0.7,0.97,-0.25,0.25,0.75,50000,1,149,10,10,True,0.06711409395973154,138,0.9261744966442953,558.4563758389262
288,28,-0.02,0.7,0.97,0.0,0.0,0.25,50000,1,27,10,10,True,0.37037037037037035,16,0.5925925925925926,1934.2962962962963
298,29,-0.02,0.7,0.995,-0.25,0.0,0.5,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,2837.285714285714
308,30,-0.02,0.7,0.995,-0.1,0.0,0.75,50000,1,24,10,10,True,0.4166666666666667,12,0.5,2289.4166666666665
318,31,-0.02,0.7,0.995,0.0,0.1,0.25,50000,1,45,10,10,True,0.2222222222222222,34,0.7555555555555555,1215.3777777777777
328,32,-0.02,0.85,0.9,-0.25,0.1,0.5,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2230.714285714286
338,33,-0.02,0.85,0.9,-0.1,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1281.6041666666667
348,34,-0.02,0.85,0.9,0.0,0.25,0.25,50000,1,50,10,10,True,0.2,40,0.8,1194.48
358,35,-0.02,0.85,0.97,-0.25,0.25,0.5,50000,1,82,10,10,True,0.12195121951219512,72,0.8780487804878049,741.5365853658536
368,36,-0.02,0.85,0.97,-0.1,0.25,0.75,50000,1,319,10,10,True,0.03134796238244514,309,0.9686520376175548,239.5485893416928
378,37,-0.02,0.85,0.995,-0.25,0.0,0.25,50000,1,20,10,10,True,0.5,10,0.5,2254.05
388,38,-0.02,0.85,0.995,-0.1,0.0,0.5,50000,1,46,10,10,True,0.21739130434782608,35,0.7608695652173914,952.2608695652174
398,39,-0.02,0.85,0.995,0.0,0.0,0.75,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,819.2264150943396
408,40,-0.02,1.0,0.9,-0.25,0.1,0.25,50000,1,17,10,10,True,0.5882352941176471,7,0.4117647058823529,2683.6470588235293
418,41,-0.02,1.0,0.9,-0.1,0.1,0.5,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1171.142857142857
428,42,-0.02,1.0,0.9,0.0,0.1,0.75,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,1103.7450980392157
438,43,-0.02,1.0,0.97,-0.25,0.25,0.25,50000,1,38,10,10,True,0.2631578947368421,28,0.7368421052631579,1427.8684210526317
448,44,-0.02,1.0,0.97,-0.1,0.25,0.5,50000,1,185,10,10,True,0.05405405405405406,175,0.9459459459459459,392.77837837837836
458,45,-0.02,1.0,0.97,0.0,0.25,0.75,50000,1,281,10,10,True,0.03558718861209965,271,0.9644128113879004,267.7259786476868
468,46,-0.02,1.0,0.995,-0.1,0.0,0.25,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,973.2244897959183
478,47,-0.02,1.0,0.995,0.0,0.0,0.5,50000,1,124,10,10,True,0.08064516129032258,114,0.9193548387096774,502.81451612903226
488,48,0.0,0.7,0.9,-0.25,0.0,0.75,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3106.3333333333335
498,49,0.0,0.7,0.9,-0.1,0.1,0.25,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3285.4166666666665
508,50,0.0,0.7,0.9,0.0,0.1,0.5,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2151.3333333333335
518,51,0.0,0.7,0.97,-0.25,0.1,0.75,50000,1,46,10,10,True,0.21739130434782608,34,0.7391304347826086,1480.6521739130435
528,52,0.0,0.7,0.97,-0.1,0.25,0.25,50000,1,45,10,10,True,0.2222222222222222,33,0.7333333333333333,1580.3555555555556
538,53,0.0,0.7,0.97,0.0,0.25,0.5,50000,1,140,10,10,True,0.07142857142857142,130,0.9285714285714286,557.1357142857142
548,54,0.0,0.7,0.995,-0.25,0.25,0.75,50000,1,157,10,10,True,0.06369426751592357,147,0.9363057324840764,387.1656050955414
558,55,0.0,0.7,0.995,0.0,0.0,0.25,50000,1,26,10,10,True,0.38461538461538464,15,0.5769230769230769,1844.9615384615386
568,56,0.0,0.85,0.9,-0.25,0.0,0.5,50000,1,23,10,10,True,0.43478260869565216,13,0.5652173913043478,2573.304347826087
578,57,0.0,0.85,0.9,-0.1,0.0,0.75,50000,1,40,10,10,True,0.25,30,0.75,1365.8
