candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
3,0,-0.1,0.7,0.9,-0.25,0.1,0.25,50000,1,10,10,10,True,1.0,0,0.0,3680.0
13,1,-0.1,0.7,0.9,-0.1,0.1,0.5,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3447.0
23,2,-0.1,0.7,0.9,0.0,0.1,0.75,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2299.4761904761904
33,3,-0.1,0.7,0.97,-0.25,0.25,0.25,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2387.3333333333335
43,4,-0.1,0.7,0.97,-0.1,0.25,0.5,50000,1,52,10,10,True,0.19230769230769232,42,0.8076923076923077,1028.423076923077
53,5,-0.1,0.7,0.97,0.0,0.25,0.75,50000,1,149,10,10,True,0.06711409395973154,139,0.9328859060402684,416.4295302013423
63,6,-0.1,0.7,0.995,-0.1,0.0,0.25,50000,1,16,10,10,True,0.625,4,0.25,2822.875
73,7,-0.1,0.7,0.995,0.0,0.0,0.5,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2150.190476190476
83,8,-0.1,0.85,0.9,-0.25,0.0,0.75,50000,1,23,10,10,True,0.43478260869565216,13,0.5652173913043478,2423.217391304348
93,9,-0.1,0.85,0.9,-0.1,0.1,0.25,50000,1,22,10,10,True,0.45454545454545453,12,0.5454545454545454,2064.5
103,10,-0.1,0.85,0.9,0.0,0.1,0.5,50000,1,30,10,10,True,0.3333333333333333,20,0.6666666666666666,1764.4333333333334
113,11,-0.1,0.85,0.97,-0.25,0.1,0.75,50000,1,97,10,10,True,0.10309278350515463,87,0.8969072164948454,665.8556701030927
123,12,-0.1,0.85,0.97,-0.1,0.25,0.25,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,990.0377358490566
133,13,-0.1,0.85,0.97,0.0,0.25,0.5,50000,1,202,10,10,True,0.04950495049504951,192,0.9504950495049505,376.8217821782178
143,14,-0.1,0.85,0.995,-0.25,0.25,0.75,50000,1,319,10,10,True,0.03134796238244514,309,0.9686520376175548,228.64890282131663
153,15,-0.1,0.85,0.995,0.0,0.0,0.25,50000,1,52,10,10,True,0.19230769230769232,42,0.8076923076923077,827.4038461538462
163,16,-0.1,1.0,0.9,-0.25,0.0,0.5,50000,1,17,10,10,True,0.5882352941176471,7,0.4117647058823529,2467.0
173,17,-0.1,1.0,0.9,-0.1,0.0,0.75,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1320.7857142857142
183,18,-0.1,1.0,0.9,0.0,0.1,0.25,50000,1,45,10,10,True,0.2222222222222222,35,0.7777777777777778,1327.0666666666666
193,19,-0.1,1.0,0.97,-0.25,0.1,0.5,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1040.547619047619
203,20,-0.1,1.0,0.97,-0.1,0.1,0.75,50000,1,152,10,10,True,0.06578947368421052,142,0.9342105263157895,431.6578947368421
