candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
1,0,-0.1,0.7,0.9,-0.25,0.0,0.5,50000,1,10,10,10,True,1.0,0,0.0,3680.0
11,1,-0.1,0.7,0.9,-0.1,0.0,0.75,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3366.6666666666665
21,2,-0.1,0.7,0.9,0.0,0.1,0.25,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,2905.5
31,3,-0.1,0.7,0.97,-0.25,0.1,0.5,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2171.0476190476193
41,4,-0.1,0.7,0.97,-0.1,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1180.8333333333333
51,5,-0.1,0.7,0.97,0.0,0.25,0.25,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1136.3541666666667
61,6,-0.1,0.7,0.995,-0.25,0.25,0.5,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1380.2857142857142
71,7,-0.1,0.7,0.995,-0.1,0.25,0.75,50000,1,202,10,10,True,0.04950495049504951,191,0.9455445544554455,322.5495049504951
81,8,-0.1,0.85,0.9,-0.25,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3474.0
91,9,-0.1,0.85,0.9,-0.1,0.0,0.5,50000,1,23,10,10,True,0.43478260869565216,13,0.5652173913043478,2142.521739130435
101,10,-0.1,0.85,0.9,0.0,0.0,0.75,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,1741.7777777777778
111,11,-0.1,0.85,0.97,-0.25,0.1,0.25,50000,1,25,10,10,True,0.4,15,0.6,1976.84
121,12,-0.1,0.85,0.97,-0.1,0.1,0.5,50000,1,90,10,10,True,0.1111111111111111,78,0.8666666666666667,789.2777777777778
131,13,-0.1,0.85,0.97,0.0,0.1,0.75,50000,1,152,10,10,True,0.06578947368421052,142,0.9342105263157895,419.7368421052632
141,14,-0.1,0.85,0.995,-0.25,0.25,0.25,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1159.0625
151,15,-0.1,0.85,0.995,-0.1,0.25,0.5,50000,1,309,10,10,True,0.032362459546925564,299,0.9676375404530745,284.06472491909386
