candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
2,0,-0.1,0.7,0.9,-0.25,0.0,0.75,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3533.3636363636365
12,1,-0.1,0.7,0.9,-0.1,0.1,0.25,50000,1,10,10,10,True,1.0,0,0.0,3680.0
22,2,-0.1,0.7,0.9,0.0,0.1,0.5,50000,1,18,10,10,True,0.5555555555555556,7,0.3888888888888889,2896.6666666666665
32,3,-0.1,0.7,0.97,-0.25,0.1,0.75,50000,1,44,10,10,True,0.22727272727272727,33,0.75,1396.5454545454545
42,4,-0.1,0.7,0.97,-0.1,0.25,0.25,50000,1,24,10,10,True,0.4166666666666667,13,0.5416666666666666,2078.625
52,5,-0.1,0.7,0.97,0.0,0.25,0.5,50000,1,77,10,10,True,0.12987012987012986,67,0.8701298701298701,757.4545454545455
62,6,-0.1,0.7,0.995,-0.25,0.25,0.75,50000,1,190,10,10,True,0.05263157894736842,179,0.9421052631578948,419.2263157894737
72,7,-0.1,0.7,0.995,0.0,0.0,0.25,50000,1,26,10,10,True,0.38461538461538464,15,0.5769230769230769,1888.0
82,8,-0.1,0.85,0.9,-0.25,0.0,0.5,50000,1,16,10,10,True,0.625,6,0.375,3142.4375
92,9,-0.1,0.85,0.9,-0.1,0.0,0.75,50000,1,25,10,10,True,0.4,15,0.6,2305.36
102,10,-0.1,0.85,0.9,0.0,0.1,0.25,50000,1,27,10,10,True,0.37037037037037035,16,0.5925925925925926,1986.0740740740741
112,11,-0.1,0.85,0.97,-0.25,0.1,0.5,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1165.25
122,12,-0.1,0.85,0.97,-0.1,0.1,0.75,50000,1,157,10,10,True,0.06369426751592357,146,0.9299363057324841,463.2229299363057
132,13,-0.1,0.85,0.97,0.0,0.25,0.25,50000,1,202,10,10,True,0.04950495049504951,191,0.9455445544554455,466.15346534653463
142,14,-0.1,0.85,0.995,-0.25,0.25,0.5,50000,1,152,10,10,True,0.06578947368421052,142,0.9342105263157895,505.30263157894734
152,15,-0.1,0.85,0.995,-0.1,0.25,0.75,50000,1,319,10,10,True,0.03134796238244514,309,0.9686520376175548,208.89655172413794
162,16,-0.1,1.0,0.9,-0.25,0.0,0.25,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3372.3333333333335
172,17,-0.1,1.0,0.9,-0.1,0.0,0.5,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,1815.037037037037
182,18,-0.1,1.0,0.9,0.0,0.0,0.75,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,1177.1666666666667
192,19,-0.1,1.0,0.97,-0.25,0.1,0.25,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,1999.2857142857142
202,20,-0.1,1.0,0.97,-0.1,0.1,0.5,50000,1,72,10,10,True,0.1388888888888889,62,0.8611111111111112,844.8888888888889
212,21,-0.1,1.0,0.97,0.0,0.1,0.75,50000,1,157,10,10,True,0.06369426751592357,146,0.9299363057324841,413.64331210191085
222,22,-0.1,1.0,0.995,-0.25,0.25,0.25,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,1606.3333333333333
232,23,-0.1,1.0,0.995,-0.1,0.25,0.5,50000,1,202,10,10,True,0.04950495049504951,191,0.9455445544554455,303.5
242,24,-0.1,1.0,0.995,0.0,0.25,0.75,50000,1,309,10,10,True,0.032362459546925564,299,0.9676375404530745,206.9967637540453
252,25,-0.02,0.7,0.9,-0.1,0.0,0.25,50000,1,14,10,10,True,0.7142857142857143,3,0.21428571428571427,3232.6428571428573
262,26,-0.02,0.7,0.9,0.0,0.0,0.5,50000,1,20,10,10,True,0.5,10,0.5,2542.2
272,27,-0.02,0.7,0.97,-0.25,0.0,0.75,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2407.6111111111113
282,28,-0.02,0.7,0.97,-0.1,0.1,0.25,50000,1,20,10,10,True,0.5,10,0.5,2160.4
292,29,-0.02,0.7,0.97,0.0,0.1,0.5,50000,1,48,10,10,True,0.20833333333333334,36,0.75,1177.3333333333333
302,30,-0.02,0.7,0.995,-0.25,0.1,0.75,50000,1,50,10,10,True,0.2,39,0.78,1341.88
312,31,-0.02,0.7,0.995,-0.1,0.25,0.25,50000,1,48,10,10,True,0.20833333333333334,36,0.75,1340.7291666666667
322,32,-0.02,0.7,0.995,0.0,0.25,0.5,50000,1,149,10,10,True,0.06711409395973154,138,0.9261744966442953,429.87919463087246
332,33,-0.02,0.85,0.9,-0.25,0.25,0.75,50000,1,63,10,10,True,0.15873015873015872,53,0.8412698412698413,1167.3650793650793
342,34,-0.02,0.85,0.9,0.0,0.0,0.25,50000,1,30,10,10,True,0.3333333333333333,20,0.6666666666666666,1736.2
352,35,-0.02,0.85,0.97,-0.25,0.0,0.5,50000,1,38,10,10,True,0.2631578947368421,27,0.7105263157894737,1469.2105263157894
362,36,-0.02,0.85,0.97,-0.1,0.0,0.75,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,1026.433962264151
372,37,-0.02,0.85,0.97,0.0,0.1,0.25,50000,1,77,10,10,True,0.12987012987012986,67,0.8701298701298701,669.7012987012987
