candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
0,0,-0.1,0.7,0.9,-0.25,0.0,0.25,50000,1,10,10,10,True,1.0,0,0.0,3680.0
10,1,-0.1,0.7,0.9,-0.1,0.0,0.5,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3345.909090909091
20,2,-0.1,0.7,0.9,0.0,0.0,0.75,50000,1,14,10,10,True,0.7142857142857143,3,0.21428571428571427,2989.3571428571427
30,3,-0.1,0.7,0.97,-0.25,0.1,0.25,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3372.0
40,4,-0.1,0.7,0.97,-0.1,0.1,0.5,50000,1,26,10,10,True,0.38461538461538464,15,0.5769230769230769,1868.1538461538462
50,5,-0.1,0.7,0.97,0.0,0.1,0.75,50000,1,52,10,10,True,0.19230769230769232,42,0.8076923076923077,1094.826923076923
60,6,-0.1,0.7,0.995,-0.25,0.25,0.25,50000,1,18,10,10,True,0.5555555555555556,7,0.3888888888888889,2510.0555555555557
70,7,-0.1,0.7,0.995,-0.1,0.25,0.5,50000,1,97,10,10,True,0.10309278350515463,87,0.8969072164948454,672.6185567010309
80,8,-0.1,0.7,0.995,0.0,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,157,0.9289940828402367,370.35502958579883
90,9,-0.1,0.85,0.9,-0.1,0.0,0.25,50000,1,21,10,10,True,0.47619047619047616,10,0.47619047619047616,2568.714285714286
100,10,-0.1,0.85,0.9,0.0,0.0,0.5,50000,1,27,10,10,True,0.37037037037037035,17,0.6296296296296297,1854.0
110,11,-0.1,0.85,0.97,-0.25,0.0,0.75,50000,1,50,10,10,True,0.2,38,0.76,1051.62
120,12,-0.1,0.85,0.97,-0.1,0.1,0.25,50000,1,50,10,10,True,0.2,40,0.8,971.84
130,13,-0.1,0.85,0.97,0.0,0.1,0.5,50000,1,140,10,10,True,0.07142857142857142,129,0.9214285714285714,487.82142857142856
140,14,-0.1,0.85,0.995,-0.25,0.1,0.75,50000,1,149,10,10,True,0.06711409395973154,138,0.9261744966442953,483.241610738255
150,15,-0.1,0.85,0.995,-0.1,0.25,0.25,50000,1,127,10,10,True,0.07874015748031496,117,0.9212598425196851,487.81889763779526
160,16,-0.1,0.85,0.995,0.0,0.25,0.5,50000,1,309,10,10,True,0.032362459546925564,299,0.9676375404530745,205.6990291262136
170,17,-0.1,1.0,0.9,-0.25,0.25,0.75,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1374.9166666666667
180,18,-0.1,1.0,0.9,0.0,0.0,0.25,50000,1,43,10,10,True,0.23255813953488372,33,0.7674418604651163,1297.3953488372092
190,19,-0.1,1.0,0.97,-0.25,0.0,0.5,50000,1,38,10,10,True,0.2631578947368421,28,0.7368421052631579,1315.921052631579
200,20,-0.1,1.0,0.97,-0.1,0.0,0.75,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,887.8627450980392
210,21,-0.1,1.0,0.97,0.0,0.1,0.25,50000,1,124,10,10,True,0.08064516129032258,114,0.9193548387096774,476.75
220,22,-0.1,1.0,0.995,-0.25,0.1,0.5,50000,1,50,10,10,True,0.2,40,0.8,947.8
230,23,-0.1,1.0,0.995,-0.1,0.1,0.75,50000,1,150,10,10,True,0.06666666666666667,140,0.9333333333333333,366.34
240,24,-0.1,1.0,0.995,0.0,0.25,0.25,50000,1,169,10,10,True,0.05917159763313609,159,0.9408284023668639,361.79289940828403
250,25,-0.02,0.7,0.9,-0.25,0.25,0.5,50000,1,18,10,10,True,0.5555555555555556,7,0.3888888888888889,2774.3333333333335
260,26,-0.02,0.7,0.9,-0.1,0.25,0.75,50000,1,46,10,10,True,0.21739130434782608,36,0.782608695652174,1328.2826086956522
270,27,-0.02,0.7,0.97,-0.25,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3353.818181818182
280,28,-0.02,0.7,0.97,-0.1,0.0,0.5,50000,1,21,10,10,True,0.47619047619047616,10,0.47619047619047616,2447.4285714285716
290,29,-0.02,0.7,0.97,0.0,0.0,0.75,50000,1,25,10,10,True,0.4,15,0.6,1759.48
300,30,-0.02,0.7,0.995,-0.25,0.1,0.25,50000,1,15,10,10,True,0.6666666666666666,5,0.3333333333333333,2734.0666666666666
310,31,-0.02,0.7,0.995,-0.1,0.1,0.5,50000,1,40,10,10,True,0.25,29,0.725,1303.25
320,32,-0.02,0.7,0.995,0.0,0.1,0.75,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,984.7755102040817
330,33,-0.02,0.85,0.9,-0.25,0.25,0.25,50000,1,16,10,10,True,0.625,6,0.375,2671.625
340,34,-0.02,0.85,0.9,-0.1,0.25,0.5,50000,1,50,10,10,True,0.2,40,0.8,1341.72
350,35,-0.02,0.85,0.9,0.0,0.25,0.75,50000,1,82,10,10,True,0.12195121951219512,72,0.8780487804878049,906.170731707317
360,36,-0.02,0.85,0.97,-0.1,0.0,0.25,50000,1,46,10,10,True,0.21739130434782608,36,0.782608695652174,1053.4565217391305
370,37,-0.02,0.85,0.97,0.0,0.0,0.5,50000,1,77,10,10,True,0.12987012987012986,65,0.8441558441558441,783.1818181818181
380,38,-0.02,0.85,0.995,-0.25,0.0,0.75,50000,1,50,10,10,True,0.2,40,0.8,938.06
390,39,-0.02,0.85,0.995,-0.1,0.1,0.25,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,949.734693877551
400,40,-0.02,0.85,0.995,0.0,0.1,0.5,50000,1,149,10,10,True,0.06711409395973154,138,0.9261744966442953,393.248322147651
410,41,-0.02,1.0,0.9,-0.25,0.1,0.75,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1214.061224489796
420,42,-0.02,1.0,0.9,-0.1,0.25,0.25,50000,1,45,10,10,True,0.2222222222222222,35,0.7777777777777778,1122.1555555555556
430,43,-0.02,1.0,0.9,0.0,0.25,0.5,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1058.4375
440,44,-0.02,1.0,0.97,-0.25,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,158,0.9349112426035503,399.0769230769231
450,45,-0.02,1.0,0.97,0.0,0.0,0.25,50000,1,124,10,10,True,0.08064516129032258,113,0.9112903225806451,564.766129032258
460,46,-0.02,1.0,0.995,-0.25,0.0,0.5,50000,1,40,10,10,True,0.25,29,0.725,1186.725
470,47,-0.02,1.0,0.995,-0.1,0.0,0.75,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,852.2941176470588
480,48,-0.02,1.0,0.995,0.0,0.1,0.25,50000,1,150,10,10,True,0.06666666666666667,140,0.9333333333333333,391.46666666666664
490,49,0.0,0.7,0.9,-0.25,0.1,0.5,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,2845.785714285714
500,50,0.0,0.7,0.9,-0.1,0.1,0.75,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2182.285714285714
510,51,0.0,0.7,0.9,0.0,0.25,0.25,50000,1,24,10,10,True,0.4166666666666667,14,0.5833333333333334,2128.2916666666665
520,52,0.0,0.7,0.97,-0.25,0.25,0.5,50000,1,48,10,10,True,0.20833333333333334,38,0.7916666666666666,1329.8333333333333
530,53,0.0,0.7,0.97,-0.1,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,158,0.9349112426035503,427.9704142011834
540,54,0.0,0.7,0.995,-0.25,0.0,0.25,50000,1,14,10,10,True,0.7142857142857143,3,0.21428571428571427,3146.5714285714284
550,55,0.0,0.7,0.995,-0.1,0.0,0.5,50000,1,21,10,10,True,0.47619047619047616,9,0.42857142857142855,2456.3809523809523
560,56,0.0,0.7,0.995,0.0,0.0,0.75,50000,1,25,10,10,True,0.4,14,0.56,1898.32
570,57,0.0,0.85,0.9,-0.25,0.1,0.25,50000,1,16,10,10,True,0.625,6,0.375,2562.5625
580,58,0.0,0.85,0.9,-0.1,0.1,0.5,50000,1,46,10,10,True,0.21739130434782608,35,0.7608695652173914,1433.0217391304348
590,59,0.0,0.85,0.9,0.0,0.1,0.75,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,1109.8235294117646
600,60,0.0,0.85,0.97,-0.25,0.25,0.25,50000,1,40,10,10,True,0.25,30,0.75,1233.5
610,61,0.0,0.85,0.97,-0.1,0.25,0.5,50000,1,290,10,10,True,0.034482758620689655,279,0.9620689655172414,299.31724137931036
620,62,0.0,0.85,0.97,0.0,0.25,0.75,50000,1,370,10,10,True,0.02702702702702703,360,0.972972972972973,207.0837837837838
630,63,0.0,0.85,0.995,-0.1,0.0,0.25,50000,1,42,10,10,True,0.23809523809523808,32,0.7619047619047619,997.3333333333334
640,64,0.0,0.85,0.995,0.0,0.0,0.5,50000,1,62,10,10,True,0.16129032258064516,52,0.8387096774193549,772.2096774193549
650,65,0.0,1.0,0.9,-0.25,0.0,0.75,50000,1,40,10,10,True,0.25,30,0.75,1253.075
660,66,0.0,1.0,0.9,-0.1,0.1,0.25,50000,1,45,10,10,True,0.2222222222222222,35,0.7777777777777778,1364.2
670,67,0.0,1.0,0.9,0.0,0.1,0.5,50000,1,58,10,10,True,0.1724137931034483,48,0.8275862068965517,1109.896551724138
680,68,0.0,1.0,0.97,-0.25,0.1,0.75,50000,1,124,10,10,True,0.08064516129032258,114,0.9193548387096774,519.6290322580645
690,69,0.0,1.0,0.97,-0.1,0.25,0.25,50000,1,81,10,10,True,0.12345679012345678,71,0.8765432098765432,751.0987654320987
700,70,0.0,1.0,0.97,0.0,0.25,0.5,50000,1,290,10,10,True,0.034482758620689655,280,0.9655172413793104,248.67586206896553
710,71,0.0,1.0,0.995,-0.25,0.25,0.75,50000,1,278,10,10,True,0.03597122302158273,268,0.9640287769784173,244.74100719424462
720,72,0.0,1.0,0.995,0.0,0.0,0.25,50000,1,77,10,10,True,0.12987012987012986,66,0.8571428571428571,698.1948051948052
