candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
4,0,-0.1,0.7,0.9,-0.25,0.1,0.5,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3523.090909090909
14,1,-0.1,0.7,0.9,-0.1,0.1,0.75,50000,1,20,10,10,True,0.5,10,0.5,2508.05
24,2,-0.1,0.7,0.9,0.0,0.25,0.25,50000,1,17,10,10,True,0.5882352941176471,5,0.29411764705882354,2954.470588235294
34,3,-0.1,0.7,0.97,-0.25,0.25,0.5,50000,1,46,10,10,True,0.21739130434782608,34,0.7391304347826086,1635.0
44,4,-0.1,0.7,0.97,-0.1,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,157,0.9289940828402367,512.6272189349113
54,5,-0.1,0.7,0.995,-0.25,0.0,0.25,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3135.5
64,6,-0.1,0.7,0.995,-0.1,0.0,0.5,50000,1,19,10,10,True,0.5263157894736842,8,0.42105263157894735,2541.157894736842
74,7,-0.1,0.7,0.995,0.0,0.0,0.75,50000,1,25,10,10,True,0.4,14,0.56,1837.12
84,8,-0.1,0.85,0.9,-0.25,0.1,0.25,50000,1,15,10,10,True,0.6666666666666666,4,0.26666666666666666,3403.9333333333334
94,9,-0.1,0.85,0.9,-0.1,0.1,0.5,50000,1,25,10,10,True,0.4,15,0.6,2217.12
104,10,-0.1,0.85,0.9,0.0,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1334.0833333333333
114,11,-0.1,0.85,0.97,-0.25,0.25,0.25,50000,1,40,10,10,True,0.25,30,0.75,1362.975
124,12,-0.1,0.85,0.97,-0.1,0.25,0.5,50000,1,152,10,10,True,0.06578947368421052,141,0.9276315789473685,456.17105263157896
134,13,-0.1,0.85,0.97,0.0,0.25,0.75,50000,1,357,10,10,True,0.028011204481792718,346,0.969187675070028,231.83193277310923
