candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
242,24,-0.1,1.0,0.995,0.0,0.25,0.75,50000,1,309.0,10.0,10,True,0.0323624595469255,299,0.9676375404530744,206.9967637540453,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
403,40,-0.02,0.85,0.995,0.0,0.25,0.5,50000,1,309.0,10.0,10,True,0.0323624595469255,299,0.9676375404530744,217.1812297734628,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_3/grid_results.csv,3
241,24,-0.1,1.0,0.995,0.0,0.25,0.5,50000,1,309.0,10.0,10,True,0.0323624595469255,298,0.964401294498382,231.1747572815534,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
376,37,-0.02,0.85,0.97,0.0,0.25,0.5,50000,1,309.0,10.0,10,True,0.0323624595469255,299,0.9676375404530744,235.48543689320388,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
467,46,-0.02,1.0,0.995,-0.25,0.25,0.75,50000,1,309.0,10.0,10,True,0.0323624595469255,299,0.9676375404530744,258.0744336569579,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_7/grid_results.csv,7
151,15,-0.1,0.85,0.995,-0.1,0.25,0.5,50000,1,309.0,10.0,10,True,0.0323624595469255,299,0.9676375404530744,284.06472491909386,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
484,48,-0.02,1.0,0.995,0.0,0.25,0.5,50000,1,300.0,10.0,10,True,0.0333333333333333,289,0.9633333333333334,208.78666666666663,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
485,48,-0.02,1.0,0.995,0.0,0.25,0.75,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,187.3551724137931,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
646,64,0.0,0.85,0.995,0.0,0.25,0.5,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,199.3448275862069,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
701,70,0.0,1.0,0.97,0.0,0.25,0.75,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,241.9,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_1/grid_results.csv,1
700,70,0.0,1.0,0.97,0.0,0.25,0.5,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,248.67586206896556,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
619,61,0.0,0.85,0.97,0.0,0.25,0.5,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,264.57586206896553,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
