parameter,from_value,to_value,candidate_index_left,candidate_index_right,logical_failure_left,logical_failure_right,logical_failure_delta,abs_logical_failure_delta,convergence_left,convergence_right,convergence_delta,abs_convergence_delta,mean_iterations_left,mean_iterations_right,fixed_fresh_negative,fixed_fresh_p_positive,fixed_previous_negative,fixed_previous_positive,fixed_previous_p_positive,fixed_fresh_positive
fresh_positive,0.7,0.85,488,569,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3106.333333333333,2080.4814814814813,0.0,0.9,-0.25,0.0,0.75,
previous_positive,0.1,0.25,5,8,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3116.25,2082.074074074074,-0.1,0.9,-0.25,,0.75,0.7
previous_p_positive,0.5,0.75,7,8,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3318.833333333333,2082.074074074074,-0.1,0.9,-0.25,0.25,,0.7
previous_negative,-0.25,-0.1,162,171,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3372.333333333333,2071.3703703703704,-0.1,0.9,,0.0,0.25,1.0
fresh_positive,0.7,0.85,19,100,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.6296296296296297,0.462962962962963,0.462962962962963,3393.5,1854.0,-0.1,0.9,0.0,0.0,0.5,
fresh_positive,0.7,0.85,7,88,0.8333333333333334,0.3703703703703703,-0.4629629629629631,0.4629629629629631,0.1666666666666666,0.5925925925925926,0.42592592592592593,0.42592592592592593,3318.833333333333,1768.7407407407406,-0.1,0.9,-0.25,0.25,0.5,
fresh_p_positive,0.9,0.97,498,525,0.8333333333333334,0.3846153846153846,-0.4487179487179488,0.4487179487179488,0.1666666666666666,0.5384615384615384,0.3717948717948718,0.3717948717948718,3285.4166666666665,2086.230769230769,0.0,,-0.1,0.1,0.25,0.7
fresh_p_positive,0.9,0.97,6,33,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,3680.0,2387.333333333333,-0.1,,-0.25,0.25,0.25,0.7
fresh_positive,0.7,0.85,244,325,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,3680.0,2488.3888888888887,-0.02,0.9,-0.25,0.0,0.5,
previous_p_positive,0.25,0.5,249,250,1.0,0.5555555555555556,-0.4444444444444444,0.4444444444444444,0.0,0.3888888888888889,0.3888888888888889,0.3888888888888889,3680.0,2774.333333333333,-0.02,0.9,-0.25,0.25,,0.7
