candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
7,0,-0.1,0.7,0.9,-0.25,0.25,0.5,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3318.8333333333335
17,1,-0.1,0.7,0.9,-0.1,0.25,0.75,50000,1,25,10,10,True,0.4,15,0.6,2142.36
27,2,-0.1,0.7,0.97,-0.25,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3369.7272727272725
37,3,-0.1,0.7,0.97,-0.1,0.0,0.5,50000,1,18,10,10,True,0.5555555555555556,8,0.4444444444444444,2420.9444444444443
47,4,-0.1,0.7,0.97,0.0,0.0,0.75,50000,1,23,10,10,True,0.43478260869565216,13,0.5652173913043478,1778.608695652174
57,5,-0.1,0.7,0.995,-0.25,0.1,0.25,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,3108.714285714286
67,6,-0.1,0.7,0.995,-0.1,0.1,0.5,50000,1,34,10,10,True,0.29411764705882354,24,0.7058823529411765,1379.3529411764705
77,7,-0.1,0.7,0.995,0.0,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,36,0.75,1075.6875
87,8,-0.1,0.85,0.9,-0.25,0.25,0.25,50000,1,16,10,10,True,0.625,5,0.3125,2722.3125
97,9,-0.1,0.85,0.9,-0.1,0.25,0.5,50000,1,43,10,10,True,0.23255813953488372,33,0.7674418604651163,1484.1627906976744
107,10,-0.1,0.85,0.9,0.0,0.25,0.75,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1123.0
117,11,-0.1,0.85,0.97,-0.1,0.0,0.25,50000,1,49,10,10,True,0.20408163265306123,38,0.7755102040816326,1214.1020408163265
127,12,-0.1,0.85,0.97,0.0,0.0,0.5,50000,1,72,10,10,True,0.1388888888888889,61,0.8472222222222222,774.6111111111111
137,13,-0.1,0.85,0.995,-0.25,0.0,0.75,50000,1,50,10,10,True,0.2,39,0.78,1005.98
147,14,-0.1,0.85,0.995,-0.1,0.1,0.25,50000,1,50,10,10,True,0.2,40,0.8,951.34
157,15,-0.1,0.85,0.995,0.0,0.1,0.5,50000,1,140,10,10,True,0.07142857142857142,128,0.9142857142857143,419.8357142857143
167,16,-0.1,1.0,0.9,-0.25,0.1,0.75,50000,1,30,10,10,True,0.3333333333333333,20,0.6666666666666666,1639.9333333333334
177,17,-0.1,1.0,0.9,-0.1,0.25,0.25,50000,1,42,10,10,True,0.23809523809523808,31,0.7380952380952381,1490.595238095238
187,18,-0.1,1.0,0.9,0.0,0.25,0.5,50000,1,51,10,10,True,0.19607843137254902,41,0.803921568627451,1291.3529411764705
197,19,-0.1,1.0,0.97,-0.25,0.25,0.75,50000,1,169,10,10,True,0.05917159763313609,158,0.9349112426035503,478.4674556213018
207,20,-0.1,1.0,0.97,0.0,0.0,0.25,50000,1,72,10,10,True,0.1388888888888889,62,0.8611111111111112,792.75
217,21,-0.1,1.0,0.995,-0.25,0.0,0.5,50000,1,40,10,10,True,0.25,30,0.75,1185.375
227,22,-0.1,1.0,0.995,-0.1,0.0,0.75,50000,1,77,10,10,True,0.12987012987012986,67,0.8701298701298701,759.5974025974026
237,23,-0.1,1.0,0.995,0.0,0.1,0.25,50000,1,149,10,10,True,0.06711409395973154,139,0.9328859060402684,391.96644295302013
247,24,-0.02,0.7,0.9,-0.25,0.1,0.5,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3245.25
257,25,-0.02,0.7,0.9,-0.1,0.1,0.75,50000,1,24,10,10,True,0.4166666666666667,13,0.5416666666666666,1966.375
267,26,-0.02,0.7,0.9,0.0,0.25,0.25,50000,1,21,10,10,True,0.47619047619047616,11,0.5238095238095238,2284.3809523809523
277,27,-0.02,0.7,0.97,-0.25,0.25,0.5,50000,1,45,10,10,True,0.2222222222222222,34,0.7555555555555555,1433.3111111111111
287,28,-0.02,0.7,0.97,-0.1,0.25,0.75,50000,1,152,10,10,True,0.06578947368421052,141,0.9276315789473685,448.7105263157895
297,29,-0.02,0.7,0.995,-0.25,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3354.090909090909
307,30,-0.02,0.7,0.995,-0.1,0.0,0.5,50000,1,18,10,10,True,0.5555555555555556,7,0.3888888888888889,2368.9444444444443
317,31,-0.02,0.7,0.995,0.0,0.0,0.75,50000,1,20,10,10,True,0.5,10,0.5,1963.5
327,32,-0.02,0.85,0.9,-0.25,0.1,0.25,50000,1,14,10,10,True,0.7142857142857143,4,0.2857142857142857,2849.8571428571427
337,33,-0.02,0.85,0.9,-0.1,0.1,0.5,50000,1,45,10,10,True,0.2222222222222222,34,0.7555555555555555,1477.8666666666666
347,34,-0.02,0.85,0.9,0.0,0.1,0.75,50000,1,52,10,10,True,0.19230769230769232,41,0.7884615384615384,1234.6346153846155
357,35,-0.02,0.85,0.97,-0.25,0.25,0.25,50000,1,42,10,10,True,0.23809523809523808,30,0.7142857142857143,1444.6190476190477
367,36,-0.02,0.85,0.97,-0.1,0.25,0.5,50000,1,157,10,10,True,0.06369426751592357,147,0.9363057324840764,372.92356687898086
