candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations
9,0,-0.1,0.7,0.9,-0.1,0.0,0.25,50000,1,11,10,10,True,0.9090909090909091,1,0.09090909090909091,3364.3636363636365
19,1,-0.1,0.7,0.9,0.0,0.0,0.5,50000,1,12,10,10,True,0.8333333333333334,2,0.16666666666666666,3393.5
29,2,-0.1,0.7,0.97,-0.25,0.0,0.75,50000,1,15,10,10,True,0.6666666666666666,5,0.3333333333333333,2564.8
39,3,-0.1,0.7,0.97,-0.1,0.1,0.25,50000,1,25,10,10,True,0.4,15,0.6,2061.96
49,4,-0.1,0.7,0.97,0.0,0.1,0.5,50000,1,51,10,10,True,0.19607843137254902,40,0.7843137254901961,1189.3333333333333
59,5,-0.1,0.7,0.995,-0.25,0.1,0.75,50000,1,48,10,10,True,0.20833333333333334,37,0.7708333333333334,1184.3333333333333
69,6,-0.1,0.7,0.995,-0.1,0.25,0.25,50000,1,49,10,10,True,0.20408163265306123,39,0.7959183673469388,1352.7755102040817
79,7,-0.1,0.7,0.995,0.0,0.25,0.5,50000,1,124,10,10,True,0.08064516129032258,114,0.9193548387096774,498.2741935483871
89,8,-0.1,0.85,0.9,-0.25,0.25,0.75,50000,1,46,10,10,True,0.21739130434782608,35,0.7608695652173914,1425.4565217391305
99,9,-0.1,0.85,0.9,0.0,0.0,0.25,50000,1,29,10,10,True,0.3448275862068966,18,0.6206896551724138,2060.7586206896553
109,10,-0.1,0.85,0.97,-0.25,0.0,0.5,50000,1,44,10,10,True,0.22727272727272727,33,0.75,1331.3636363636363
119,11,-0.1,0.85,0.97,-0.1,0.0,0.75,50000,1,53,10,10,True,0.18867924528301888,43,0.8113207547169812,949.8679245283018
