decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
relay-bp-paper-damping-c0p800-w0p200,19,1,8,0.8,0.2,0.7000000000000001,0.9,19000057,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1744,18,468.55499999999995,0.010321100917431193,0.9896788990825688,0.002420120148431888,0.23448275215917846,True,False,0.7000000000000001,0.9,0.8,0.19999999999999996,False
relay-bp-paper-damping-c0p900-w0p200,20,1,9,0.9,0.2,0.8,1.0,20000060,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1479,15,452.03,0.010141987829614604,0.9898580121703854,0.0026053369981418493,0.25688622801678634,True,False,0.8,1.0,0.9,0.19999999999999996,False
relay-bp-paper-damping-c1p000-w0p200,21,1,10,1.0,0.2,0.9,1.0,21000063,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1272,13,442.46900000000005,0.010220125786163521,0.9897798742138365,0.0028200309466663775,0.27592918185843324,True,False,0.9,1.1,0.95,0.09999999999999998,True
relay-bp-paper-damping-c0p000-w0p400,22,2,0,0.0,0.4,0.0,0.2,22000066,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,362,12,455.402,0.03314917127071823,0.9668508287292817,0.009409396930373525,0.2838501407329347,True,False,-0.2,0.2,0.1,0.2,True
relay-bp-paper-damping-c0p100-w0p400,23,2,1,0.1,0.4,0.0,0.30000000000000004,23000069,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,688,12,484.7289999999999,0.01744186046511628,0.9825581395348837,0.004990928102717926,0.2861465445558277,True,False,-0.1,0.30000000000000004,0.15000000000000002,0.30000000000000004,True
relay-bp-paper-damping-c0p200-w0p400,24,2,2,0.2,0.4,0.0,0.4,24000072,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,420,4,134.013,0.009523809523809525,0.9904761904761905,0.004739174776458279,0.49761335152811925,True,False,0.0,0.4,0.2,0.4,False
relay-bp-paper-damping-c0p300-w0p400,25,2,3,0.30000000000000004,0.4,0.10000000000000003,0.5,25000075,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1201,11,434.53,0.009159034138218152,0.9908409658617818,0.002748877029344687,0.3001273920220881,True,False,0.10000000000000003,0.5,0.30000000000000004,0.39999999999999997,False
relay-bp-paper-damping-c0p400-w0p400,26,2,4,0.4,0.4,0.2,0.6000000000000001,26000078,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,741,13,423.6460000000001,0.017543859649122806,0.9824561403508771,0.004822919952273593,0.2749064372795948,True,False,0.2,0.6000000000000001,0.4,0.4000000000000001,False
relay-bp-paper-damping-c0p500-w0p400,27,2,5,0.5,0.4,0.3,0.7,27000081,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1352,12,444.78999999999996,0.008875739644970414,0.9911242603550295,0.0025508092593832378,0.2873911765571781,True,False,0.3,0.7,0.5,0.39999999999999997,False
relay-bp-paper-damping-c0p600-w0p400,28,2,6,0.6000000000000001,0.4,0.4000000000000001,0.8,28000084,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1484,10,418.066,0.006738544474393531,0.9932614555256065,0.0021237230970550425,0.31516050760296827,True,False,0.4000000000000001,0.8,0.6000000000000001,0.39999999999999997,False
